Sourcefile	20230508 152842 Faraday Airdemo Scan Analog.qmp
Exporttime	08.05.2023 15:44:11

Start Time	08.05.2023 15:38:14
End Time	08.05.2023 15:42:32


Task Name	Scan
First Mass	0,00
Scan Width	50,00

Start Time	08.05.2023 15:38:14

Mass [amu]	Ion Current [A]
13,75	-1,899912e-014
13,78	-2,272855e-014
13,81	-3,023488e-014
13,84	-3,554890e-014
13,88	-3,327843e-014
13,91	-2,306946e-014
13,94	-1,050027e-014
13,97	-3,185918e-015
14,00	-3,828902e-015
14,03	-8,227076e-015
14,06	-1,100999e-014
14,09	-1,107288e-014
14,13	-1,108019e-014
14,16	-1,342979e-014
14,19	-1,709362e-014
14,22	-1,898134e-014
14,25	-1,845728e-014
14,28	-1,801080e-014
14,31	-1,923260e-014
14,34	-2,119350e-014
14,38	-2,274815e-014
14,41	-2,383155e-014
14,44	-2,436566e-014
14,47	-2,328733e-014
14,50	-2,002711e-014
14,53	-1,668529e-014
14,56	-1,622982e-014
14,59	-1,920891e-014
14,63	-2,414527e-014
14,66	-2,877157e-014
14,69	-3,049154e-014
14,72	-2,816897e-014
14,75	-2,342042e-014
14,78	-1,944104e-014
14,81	-1,877243e-014
14,84	-2,145573e-014
14,88	-2,520181e-014
14,91	-2,800809e-014
14,94	-2,954197e-014
14,97	-3,007531e-014
15,00	-2,943358e-014
15,03	-2,673309e-014
15,06	-2,206326e-014
15,09	-1,828958e-014
15,13	-1,786777e-014
15,16	-1,914517e-014
15,19	-1,945763e-014
15,22	-1,924797e-014
15,25	-2,025436e-014
15,28	-2,234612e-014
15,31	-2,361315e-014
15,34	-2,229708e-014
15,38	-1,908867e-014
15,41	-1,700527e-014
15,44	-1,808569e-014
15,47	-2,123296e-014
15,50	-2,297401e-014
15,53	-1,968514e-014
15,56	-9,879666e-015
15,59	4,912388e-015
15,63	2,098568e-014
15,66	3,464994e-014
15,69	4,464058e-014
15,72	5,173566e-014
15,75	5,616458e-014
15,78	5,763423e-014
15,81	5,723999e-014
15,84	5,687226e-014
15,88	5,703771e-014
15,91	5,619423e-014
15,94	5,334746e-014
15,97	5,124999e-014
16,00	5,336044e-014
16,03	5,755095e-014
16,06	5,734684e-014
16,09	4,959531e-014
16,13	3,774953e-014
16,16	2,775695e-014
16,19	2,313649e-014
16,22	2,348909e-014
16,25	2,606504e-014
16,28	2,869972e-014
16,31	3,043393e-014
16,34	2,958021e-014
16,38	2,423764e-014
16,41	1,497488e-014
16,44	4,545681e-015
16,47	-4,736623e-015
16,50	-1,175324e-014
16,53	-1,548815e-014
16,56	-1,522127e-014
16,59	-1,193329e-014
16,63	-7,903279e-015
16,66	-4,837951e-015
16,69	-3,201796e-015
16,72	-2,734067e-015
16,75	-2,637288e-015
16,78	-1,721153e-015
16,81	3,667248e-016
16,84	2,509601e-015
16,88	3,515004e-015
16,91	3,336868e-015
16,94	3,512464e-015
16,97	6,265388e-015
17,00	1,093203e-014
17,03	1,290173e-014
17,06	8,758228e-015
17,09	5,570479e-016
17,13	-6,181967e-015
17,16	-7,311697e-015
17,19	-3,192088e-015
17,22	2,276562e-015
17,25	4,982613e-015
17,28	2,762578e-015
17,31	-3,161481e-015
17,34	-8,669638e-015
17,38	-1,096330e-014
17,41	-1,099219e-014
17,44	-1,120285e-014
17,47	-1,314241e-014
17,50	-1,612682e-014
17,53	-1,745518e-014
17,56	-1,531264e-014
17,59	-1,023240e-014
17,63	-3,743074e-015
17,66	2,946565e-015
17,69	9,655966e-015
17,72	1,673666e-014
17,75	2,376680e-014
17,78	2,960590e-014
17,81	3,346509e-014
17,84	3,530049e-014
17,88	3,581533e-014
17,91	3,622959e-014
17,94	3,708397e-014
17,97	3,760051e-014
18,00	3,661599e-014
18,03	3,380501e-014
18,06	3,076900e-014
18,09	3,035605e-014
18,13	3,274885e-014
18,16	3,344288e-014
18,19	2,823262e-014
18,22	1,913570e-014
18,25	1,216418e-014
18,28	1,011349e-014
18,31	1,042740e-014
18,34	9,619221e-015
18,38	7,087103e-015
18,41	3,432436e-015
18,44	-2,444186e-015
18,47	-1,128292e-014
18,50	-2,050053e-014
18,53	-2,629738e-014
18,56	-2,691617e-014
18,59	-2,295664e-014
18,63	-1,692705e-014
18,66	-1,177769e-014
18,69	-8,334201e-015
18,72	-6,014577e-015
18,75	-4,880838e-015
18,78	-4,704741e-015
18,81	-4,699878e-015
18,84	-5,177566e-015
18,88	-6,866657e-015
18,91	-9,583809e-015
18,94	-1,270546e-014
18,97	-1,462689e-014
