Sourcefile	20230508 155818 Faraday Airdemo Scan Analog.qmp
Exporttime	08.05.2023 16:03:06

Start Time	08.05.2023 15:58:27
End Time	08.05.2023 16:02:53


Task Name	Scan
First Mass	0,00
Scan Width	50,00

Start Time	08.05.2023 15:58:27

Mass [amu]	Ion Current [A]
17,19	-6,207080e-014
17,22	-6,395388e-014
17,25	-6,613636e-014
17,28	-6,828561e-014
17,31	-7,259816e-014
17,34	-8,054634e-014
17,38	-8,922687e-014
17,41	-9,461359e-014
17,44	-9,602981e-014
17,47	-9,504725e-014
17,50	-9,280065e-014
17,53	-8,938400e-014
17,56	-8,433044e-014
17,59	-7,717686e-014
17,63	-6,800231e-014
17,66	-5,840691e-014
17,69	-5,103890e-014
17,72	-4,672945e-014
17,75	-4,387181e-014
17,78	-4,136979e-014
17,81	-4,015594e-014
17,84	-4,128358e-014
17,88	-4,353031e-014
17,91	-4,396729e-014
17,94	-4,126342e-014
17,97	-3,750550e-014
18,00	-3,567643e-014
18,03	-3,632681e-014
18,06	-3,831997e-014
18,09	-4,060001e-014
18,13	-4,160003e-014
18,16	-4,009716e-014
18,19	-3,787249e-014
18,22	-3,886209e-014
18,25	-4,510604e-014
18,28	-5,474301e-014
18,31	-6,353238e-014
18,34	-6,789792e-014
18,38	-6,736938e-014
18,41	-6,505365e-014
18,44	-6,566382e-014
18,47	-7,130052e-014
18,50	-7,878523e-014
18,53	-8,328346e-014
18,56	-8,426767e-014
18,59	-8,533696e-014
18,63	-8,849232e-014
18,66	-9,176605e-014
18,69	-9,345375e-014
18,72	-9,528893e-014
18,75	-9,881102e-014
18,78	-1,017471e-013
18,81	-1,014200e-013
18,84	-9,853444e-014
18,88	-9,495751e-014
18,91	-9,188360e-014
18,94	-9,086121e-014
18,97	-9,231477e-014
19,00	-9,460617e-014
19,03	-9,640051e-014
19,06	-9,684881e-014
19,09	-9,483559e-014
19,13	-9,109991e-014
19,16	-8,824724e-014
19,19	-8,741009e-014
19,22	-8,756602e-014
19,25	-8,741728e-014
19,28	-8,646765e-014
19,31	-8,548132e-014
19,34	-8,536296e-014
19,38	-8,510960e-014
19,41	-8,321678e-014
19,44	-8,040553e-014
19,47	-7,850271e-014
19,50	-7,851050e-014
19,53	-8,058122e-014
19,56	-8,410211e-014
19,59	-8,791064e-014
19,63	-9,072271e-014
19,66	-9,155929e-014
19,69	-9,099197e-014
19,72	-9,155064e-014
19,75	-9,446778e-014
19,78	-9,714912e-014
19,81	-9,669688e-014
19,84	-9,408671e-014
19,88	-9,281214e-014
19,91	-9,420880e-014
19,94	-9,586175e-014
19,97	-9,624665e-014
20,00	-9,804355e-014
20,03	-1,031465e-013
20,06	-1,084669e-013
20,09	-1,105125e-013
20,13	-1,097471e-013
20,16	-1,086617e-013
20,19	-1,086414e-013
20,22	-1,084711e-013
20,25	-1,055584e-013
20,28	-9,927052e-014
20,31	-9,187106e-014
20,34	-8,673914e-014
20,38	-8,595028e-014
20,41	-8,845640e-014
20,44	-9,158646e-014
20,47	-9,401539e-014
20,50	-9,582556e-014
20,53	-9,705879e-014
20,56	-9,775003e-014
20,59	-9,867132e-014
20,63	-1,009266e-013
20,66	-1,041097e-013
20,69	-1,055242e-013
20,72	-1,026194e-013
20,75	-9,556323e-014
20,78	-8,695160e-014
20,81	-8,012364e-014
20,84	-7,759769e-014
20,88	-7,982342e-014
20,91	-8,492802e-014
20,94	-9,042476e-014
20,97	-9,531154e-014
21,00	-1,001055e-013
21,03	-1,052983e-013
21,06	-1,096897e-013
21,09	-1,105347e-013
21,13	-1,065409e-013
21,16	-9,998035e-014
21,19	-9,469907e-014
21,22	-9,263793e-014
21,25	-9,236270e-014
21,28	-9,137169e-014
21,31	-8,969570e-014
21,34	-8,890922e-014
21,38	-8,853058e-014
21,41	-8,682145e-014
21,44	-8,431078e-014
21,47	-8,379740e-014
21,50	-8,673785e-014
21,53	-9,055607e-014
21,56	-9,101503e-014
21,59	-8,826671e-014
21,63	-8,753583e-014
21,66	-9,192243e-014
21,69	-9,816949e-014
21,72	-1,008081e-013
21,75	-9,819142e-014
21,78	-9,331299e-014
21,81	-8,974771e-014
21,84	-8,880115e-014
21,88	-8,991898e-014
21,91	-9,175918e-014
21,94	-9,291054e-014
21,97	-9,326275e-014
22,00	-9,417991e-014
22,03	-9,589308e-014
22,06	-9,713163e-014
22,09	-9,781276e-014
22,13	-9,890092e-014
22,16	-1,000061e-013
22,19	-9,938566e-014
22,22	-9,607727e-014
22,25	-9,108056e-014
22,28	-8,728324e-014
22,31	-8,772869e-014
22,34	-9,209313e-014
22,38	-9,639391e-014
22,41	-9,715625e-014
22,44	-9,431253e-014
22,47	-9,010794e-014
22,50	-8,658675e-014
22,53	-8,444680e-014
22,56	-8,326421e-014
22,59	-8,253597e-014
22,63	-8,279048e-014
22,66	-8,513655e-014
22,69	-8,921389e-014
22,72	-9,223887e-014
22,75	-9,189208e-014
22,78	-8,947398e-014
22,81	-8,775346e-014
